p1,p2,p3,p4
0.0097764,0.0051241,0.28943,2.0696
0.0056365,0.0037725,0.36204,0.25307
0.0090496,0.0030819,1.4244,1.13
0.010103,0.0021994,1.0296,0.0047101
0.009298,0.0027085,0.35319,3.664
0.010341,0.0031834,0.40697,2.1383
0.0095347,0.0029296,0.91184,13.635
0.0086559,0.0036764,0.2113,2.0986
0.0049754,3.80E-06,0.59751,3.646
0.0030452,0.00034435,2.152,3.0985
0.0022219,3.80E-06,0.55016,20.866
0.0080712,0.0025171,0.63282,0.56765
0.009582,0.0023709,0.52714,5.9816
0.0070816,0.0051625,1.7572,1.0387
0.010385,0.001538,0.45512,1.4489
0.0077972,0.0011906,0.44913,2.3316
0.010736,0.0012242,0.27186,2.743
0.0030528,0.00182,0.32953,8.0097
0.0074813,0.0028122,0.77947,0.00471
0.015852,0.0012889,0.55252,11.557
0.0019265,0.00013868,0.000582,13.611
0.0025079,0.00056896,0.60393,7.7571
0.011835,0.0044891,1.8263,0.00471
0.011154,0.012557,0.26703,0.0047125
0.0050937,0.001038,0.71469,2.065
0.0068485,0.0029244,0.56438,0.0047917
0.0062413,0.0013577,0.37996,1.8862
0.012012,0.0027728,1.8302,1.2878
0.0074109,0.0012443,4.7309,2.5447
0.015994,0.002006,0.54057,6.1727
0.0080129,0.0042847,0.60521,1.8692
0.0085728,0.0015915,1.6094,0.0047101
0.008107,0.0014619,0.76569,0.4351
0.0086742,0.0017339,0.57347,8.0474
0.014633,0.0034768,1.0353,3.0291
0.011539,0.0027948,0.57305,7.4051
0.014088,0.0046983,0.44139,6.1166
0.009042,0.0021021,0.53239,4.8986
0.0078835,0.00057819,0.23827,3.2599
0.010904,0.0063975,0.44727,2.5446
0.0088614,0.00045792,0.98313,4.0253
0.0086083,0.0012795,0.44657,9.1254
0.014784,0.0040069,0.45,2.6207
0.0061071,0.0010749,0.55103,5.6877
0.018424,0.00341,2.2236,5.8839
0.0077447,0.002329,1.5332,0.0047124
0.01078,0.003052,0.25006,2.1428
0.0025348,3.80E-06,0.56191,6.4976
0.0039205,0.00079179,0.081196,13.178
0.0094518,0.0063022,0.48221,1.0283
0.0073289,0.0005688,0.39809,5.8992
0.0079705,1.17E-05,0.79558,2.7222
0.0066695,0.0022092,1.3211,0.0047101
0.0046771,0.0001214,0.39409,3.2726
0.0092952,0.00092463,0.34467,3.2457
0.015233,0.00015522,0.46268,6.6183
0.0077859,0.00087898,1.4485,3.1037
0.0055347,0.0026539,0.68184,3.8008
0.012482,0.0011071,0.55105,0.3963
0.0037203,0.00018172,0.79229,0.068189
0.0066705,0.00065455,0.55977,5.4835
0.0059207,0.002265,0.59902,3.8708
0.0087071,0.0027145,0.21792,1.997
0.0087527,0.0020159,1.0281,0.00471
0.013251,0.0039804,1.0359,0.00471
0.0098671,0.0028825,1.5855,1.4324
0.015272,0.0018059,0.77029,3.2889
0.0077593,0.0010476,0.60185,0.05061
0.0085213,0.001574,0.52393,0.0047719
0.016905,0.0002398,1.1601,16.279
0.01412,0.0038413,0.38573,0.61589
0.0058645,0.00016034,0.70095,3.5546
